epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1050.47,1.29261,1.18788,1.55262,0.65181,0.55587,0.59356,0.24717,1.76464,1.519,1.84007,0.0001783,0.0001783,0.0001783
85,1062.34,1.27447,1.13018,1.5575,0.71887,0.57205,0.61213,0.25084,1.77692,1.51822,1.86706,0.0001684,0.0001684,0.0001684
86,1075.16,1.29645,1.17927,1.57894,0.7197,0.58515,0.61377,0.24828,1.7851,1.52228,1.8934,0.0001585,0.0001585,0.0001585
87,1087.28,1.28396,1.15069,1.5697,0.65343,0.60262,0.56382,0.22716,1.83434,1.59839,1.93165,0.0001486,0.0001486,0.0001486
88,1101.44,1.28346,1.19152,1.5577,0.65586,0.58952,0.56887,0.23522,1.81099,1.61959,1.89154,0.0001387,0.0001387,0.0001387
89,1113.88,1.25271,1.11623,1.52696,0.68186,0.58952,0.58233,0.25165,1.78994,1.51745,1.88598,0.0001288,0.0001288,0.0001288
90,1128.42,1.22945,1.10752,1.52162,0.68859,0.57642,0.56523,0.23293,1.81834,1.57098,1.90683,0.0001189,0.0001189,0.0001189
91,1162.8,1.22046,0.9924,1.55017,0.59987,0.54585,0.49979,0.20252,1.87633,1.70741,1.96397,0.000109,0.000109,0.000109
92,1174.55,1.25313,1.01996,1.59893,0.60603,0.57099,0.54598,0.2214,1.83061,1.60626,1.9273,9.91e-05,9.91e-05,9.91e-05
93,1186.28,1.20063,0.95058,1.56073,0.61562,0.58515,0.567,0.23174,1.78047,1.5285,1.88965,8.92e-05,8.92e-05,8.92e-05
94,1198.16,1.15651,0.93459,1.52366,0.67967,0.54148,0.58405,0.24171,1.76394,1.50166,1.87057,7.93e-05,7.93e-05,7.93e-05
95,1210.11,1.13944,0.91325,1.50856,0.66749,0.54148,0.55764,0.22505,1.81402,1.58788,1.91599,6.94e-05,6.94e-05,6.94e-05
96,1222.08,1.16343,0.90353,1.51376,0.66041,0.57205,0.55979,0.22986,1.82773,1.5708,1.93416,5.95e-05,5.95e-05,5.95e-05
97,1233.81,1.15691,0.89204,1.52274,0.68312,0.58079,0.5889,0.23633,1.81559,1.53742,1.93464,4.96e-05,4.96e-05,4.96e-05
98,1245.76,1.14988,0.89772,1.53254,0.67706,0.60262,0.60233,0.24359,1.80569,1.49483,1.92818,3.97e-05,3.97e-05,3.97e-05
99,1257.72,1.11835,0.84988,1.49863,0.6765,0.60262,0.59861,0.24173,1.80849,1.5186,1.91978,2.98e-05,2.98e-05,2.98e-05
100,1269.8,1.12316,0.86984,1.50868,0.69305,0.60144,0.60076,0.24166,1.81889,1.54224,1.9215,1.99e-05,1.99e-05,1.99e-05
